context,questions,answers
Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .,Who is Daemon Corlys 's?,Daemon Corlys 's was a PERSON who Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .
Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .,Who is Viserys?,Viserys was a PERSON who Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .
Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .,Who is Alicent?,Alicent was a PERSON who Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .
Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .,What is Red Keep 's?,Red Keep 's is a ORG that Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .
Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .,Who is godswood?,godswood was a PERSON who Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .
Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .,Who is Alicent?,Alicent was a PERSON who Alicent finds Princess Rhaenyra brooding Red Keep 's godswood ; Alicent tries make friendly overtures old friend turned stepdaughter Rhaenyra disinclined listen storms .
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,Who is Otto?,Otto was a PERSON who In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,Who is Hobert Hightower?,Hobert Hightower was a PERSON who In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,Who is Viserys Aegon 's?,Viserys Aegon 's was a PERSON who In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,What is Iron Throne?,Iron Throne is a ORG that In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,What is Kingswood?,Kingswood is a ORG that The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,Who is Alicent?,Alicent was a PERSON who The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .
In private Otto 's elder brother Lord Hobert Hightower urges brother encourage Viserys Aegon 's infancy name boy heir apparent Iron Throne keeping Westerosi tradition.The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .,Who is maester?,maester was a PERSON who The royal family travels Kingswood closed wheelhouse ; Rhaenyra expresses surprise heavily pregnant Alicent accompanying though replies maester assured fresh air good .
Rhaenyra left discomforted Viserys expresses hope soon marry make grandfather .,Who is Viserys?,Viserys was a PERSON who Rhaenyra left discomforted Viserys expresses hope soon marry make grandfather .
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Viserys?,Viserys was a PERSON who The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Hobert?,Hobert was a PERSON who The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Where is Aegon?,Aegon is a GPE that The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Where is Aegon?,Aegon is a GPE that The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Viserys?,Viserys was a PERSON who The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Daemon?,Daemon was a PERSON who Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Stepstones Rhaenyra?,Stepstones Rhaenyra was a PERSON who Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,Who is Jason Lannister?,Jason Lannister was a PERSON who Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .
The mood grows tense Viserys insists accompany hunt capacity heir claims shirking duties princess ; Rhaenyra scoffs idea insisting none nobles present hunt conclusion strengthened upon arrival royal hunting encampment Lord Hobert leads cheering infant Aegon hailing boy `` Second His Name '' making clear Rhaenyra least realm 's nobility consider Aegon Viserys 's heir.Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .,What is located at Casterly Rock?,Casterly Rock is a LOC where Within royal pavilion enduring conversations noble ladies present growing angry denigration Daemon 's campaign Stepstones Rhaenyra exits pavilion approached Lord Jason Lannister plies honeyed wine made Lannisport waxes lyrical privileges offered Casterly Rock .
Rhaenyra confused Lord Jason admits possess Dragonpit means build one ; Rhaenyra questions would need thing Jason replies would build one satisfy Queen ... lady wife .,Who is Jason?,Jason was a PERSON who Rhaenyra confused Lord Jason admits possess Dragonpit means build one ; Rhaenyra questions would need thing Jason replies would build one satisfy Queen ... lady wife .
Rhaenyra confused Lord Jason admits possess Dragonpit means build one ; Rhaenyra questions would need thing Jason replies would build one satisfy Queen ... lady wife .,Who is Jason?,Jason was a PERSON who Rhaenyra confused Lord Jason admits possess Dragonpit means build one ; Rhaenyra questions would need thing Jason replies would build one satisfy Queen ... lady wife .
Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .,Who is Jason?,Jason was a PERSON who Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.
Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .,Where is Viserys?,Viserys is a GPE that Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.
Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .,Who is Viserys?,Viserys was a PERSON who When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .
Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .,Who is Jason?,Jason was a PERSON who When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .
Realizing Lord Jason trying make marriage proposal Rhaenyra takes leave storms back royal pavilion remonstrate Viserys.When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .,Who is Viserys?,Viserys was a PERSON who When confronts father Viserys insists Lord Jason 's proposal merely latest long list offers hand 's receiving since came age Rhaenyra snubbed every effort Viserys made engage discussion .
Rhaenyra protests interest marriage Viserys angrily rages expected marry tradition duty different .,Who is Viserys?,Viserys was a PERSON who Rhaenyra protests interest marriage Viserys angrily rages expected marry tradition duty different .
Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .,Who is Otto?,Otto was a PERSON who Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .
Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .,What is hart?,hart is a ORG that Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .
Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .,What is Royal Huntsman?,Royal Huntsman is a ORG that Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .
Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .,Where is Aegon?,Aegon is a GPE that Before argument gets vicious Otto interrupts report white hart sighted Royal Huntsman insisting catching killing creature hailed local lore `` King Kingswood '' would surely auspicious portent Prince Aegon ' nameday .
Before departing Otto Viserys insists Rhaenyra marry.Furious hurt Rhaenyra storms pavilion mounts horse flees encampment ; Ser Criston Cole sees mounts follow Rhaenyra capacity sworn shield .,Who is Otto Viserys?,Otto Viserys was a PERSON who Before departing Otto Viserys insists Rhaenyra marry.
Before departing Otto Viserys insists Rhaenyra marry.Furious hurt Rhaenyra storms pavilion mounts horse flees encampment ; Ser Criston Cole sees mounts follow Rhaenyra capacity sworn shield .,What is Ser Criston Cole?,Ser Criston Cole is a ORG that Furious hurt Rhaenyra storms pavilion mounts horse flees encampment ; Ser Criston Cole sees mounts follow Rhaenyra capacity sworn shield .
Rhaenyra races Kingswood Criston close pursuit begging stop finally catching shores small lake .,Who is Kingswood Criston?,Kingswood Criston was a PERSON who Rhaenyra races Kingswood Criston close pursuit begging stop finally catching shores small lake .
Rhaenyra bitterly laments father trying marry Jason Lannister though briefly cheered Criston jokingly offers kill .,Who is Jason Lannister?,Jason Lannister was a PERSON who Rhaenyra bitterly laments father trying marry Jason Lannister though briefly cheered Criston jokingly offers kill .
Rhaenyra bitterly laments father trying marry Jason Lannister though briefly cheered Criston jokingly offers kill .,What is Criston?,Criston is a ORG that Rhaenyra bitterly laments father trying marry Jason Lannister though briefly cheered Criston jokingly offers kill .
Criston urges return camp Rhaenyra suggests explore Kingswood desire return yet .,What is Kingswood?,Kingswood is a ORG that Criston urges return camp Rhaenyra suggests explore Kingswood desire return yet .
As walk forest Rhaenyra asks Criston betrothed ; replies status son Lord Dondarrion 's steward would allowed wed common girl never eye .,What is Criston?,Criston is a ORG that As walk forest Rhaenyra asks Criston betrothed ; replies status son Lord Dondarrion 's steward would allowed wed common girl never eye .
As walk forest Rhaenyra asks Criston betrothed ; replies status son Lord Dondarrion 's steward would allowed wed common girl never eye .,Who is Dondarrion?,Dondarrion was a PERSON who As walk forest Rhaenyra asks Criston betrothed ; replies status son Lord Dondarrion 's steward would allowed wed common girl never eye .
Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .,What is Kingsguard?,Kingsguard is a ORG that Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.
Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .,What is House?,House is a ORG that Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.
Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .,Where is Viserys?,Viserys is a GPE that Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .
Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .,What is Royal Huntsman white hart?,Royal Huntsman white hart is a ORG that Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .
Criston counsels otherwise reminding Rhaenyra one raised Kingsguard highest honor anyone House Cole ever received.Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .,Who is Jason Lannister?,Jason Lannister was a PERSON who Back royal pavilion Viserys gets drunk waits reports Royal Huntsman white hart tracked Lord Jason Lannister approaches king tries press suit Rhaenyra 's hand .
Unfortunately comment Lady Casterly Rock Rhaenyra well compensated loss station Viserys 's heir angers king assumption intends replace Rhaenyra heir .,Who is Casterly Rock Rhaenyra?,Casterly Rock Rhaenyra was a PERSON who Unfortunately comment Lady Casterly Rock Rhaenyra well compensated loss station Viserys 's heir angers king assumption intends replace Rhaenyra heir .
Unfortunately comment Lady Casterly Rock Rhaenyra well compensated loss station Viserys 's heir angers king assumption intends replace Rhaenyra heir .,Who is Viserys?,Viserys was a PERSON who Unfortunately comment Lady Casterly Rock Rhaenyra well compensated loss station Viserys 's heir angers king assumption intends replace Rhaenyra heir .
When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .,Who is Jason?,Jason was a PERSON who When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .
When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .,Who is Viserys?,Viserys was a PERSON who When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .
When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .,Who is Jason?,Jason was a PERSON who When Lord Jason admits idle talk amongst lords regarding suggestion Viserys angrily accuses Jason allowing treasonous talk foment amongst bannermen dismisses .
Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .,Who is Viserys?,Viserys was a PERSON who Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .
Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .,Who is Otto?,Otto was a PERSON who Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .
Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .,Where is Aegon?,Aegon is a GPE that Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .
Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .,What is Iron Throne?,Iron Throne is a ORG that Viserys exasperated Otto approaches suggesting alternative betrothal Rhaenyra : Prince Aegon ( transparent attempt move grandson closer Iron Throne ) .
Viserys laughs incredulously notion insisting boy two years old .,When did two years old happen?,two years old was a DATE that Viserys laughs incredulously notion insisting boy two years old .
Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .,Who is Otto?,Otto was a PERSON who Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.
Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .,What is Rhaenyra?,Rhaenyra is a ORG that Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.
Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .,Who is Viserys Viserys?,Viserys Viserys was a PERSON who Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.
Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .,Who is Otto?,Otto was a PERSON who Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.
Otto suggests would put end suits nobility Rhaenyra 's hand bother caused Viserys Viserys dismisses matter hand along Otto sinks deeper cups.Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .,Who is Lyonel Strong?,Lyonel Strong was a PERSON who Later evening engages Master Laws Lord Lyonel Strong conversation lamenting despite Lord Seven Kingdoms unable control seventeen year old daughter .
