context,questions,answers
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Laena Velaryon?,Laena Velaryon was a PERSON who Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Laenor Velaryon?,Laenor Velaryon was a PERSON who Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Rhaenys?,Rhaenys was a PERSON who Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Aemon?,Aemon was a PERSON who Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is King Jaehaerys Jaehaerys?,King Jaehaerys Jaehaerys was a PERSON who Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Rhaenys?,Rhaenys was a PERSON who Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .
Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture ) Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .,When did years later happen?,years later was a DATE that Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture )
Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture ) Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .,Who is Jaehaerys?,Jaehaerys was a PERSON who Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture )
Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture ) Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .,What is Iron Throne?,Iron Throne is a ORG that Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture )
Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture ) Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .,Who is Laenor?,Laenor was a PERSON who Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture )
Baelon died years later also Jaehaerys still alive leaving two rival male claimants Iron Throne : Rhaenys 's son Laenor ( based primogeniture ) Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .,Who is Viserys?,Viserys was a PERSON who Rhaenys 's first cousin Viserys ( son uncle Baelon thus unbroken male line ) .
Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .,Where is war Jaehaerys?,war Jaehaerys is a GPE that Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .
Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .,What is Great Council?,Great Council is a ORG that Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .
Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .,Who is Westeros?,Westeros was a PERSON who Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .
Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .,Who is Viserys?,Viserys was a PERSON who Fearing civil war Jaehaerys solved issue holding Great Council 101 AC lords Westeros held vote elected Viserys heir throne .
Jaehaerys died old age years later Viserys ascended throne.House Dragon | Official Website HBO Series | HBO.com,Who is Jaehaerys?,Jaehaerys was a PERSON who Jaehaerys died old age years later Viserys ascended throne.
Jaehaerys died old age years later Viserys ascended throne.House Dragon | Official Website HBO Series | HBO.com,When did old age years later happen?,old age years later was a DATE that Jaehaerys died old age years later Viserys ascended throne.
Jaehaerys died old age years later Viserys ascended throne.House Dragon | Official Website HBO Series | HBO.com,Who is Viserys?,Viserys was a PERSON who Jaehaerys died old age years later Viserys ascended throne.
At Heir 's Tournament held celebrate impending birth Viserys 's son Baelon Rhaenys comments scathingly husband Corlys knights participating `` green summer grass '' none actually seen real battle .,Who is Viserys?,Viserys was a PERSON who At Heir 's Tournament held celebrate impending birth Viserys 's son Baelon Rhaenys comments scathingly husband Corlys knights participating `` green summer grass '' none actually seen real battle .
At Heir 's Tournament held celebrate impending birth Viserys 's son Baelon Rhaenys comments scathingly husband Corlys knights participating `` green summer grass '' none actually seen real battle .,Who is Corlys?,Corlys was a PERSON who At Heir 's Tournament held celebrate impending birth Viserys 's son Baelon Rhaenys comments scathingly husband Corlys knights participating `` green summer grass '' none actually seen real battle .
When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .,Who is Viserys?,Viserys was a PERSON who When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.
When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .,Who is Aemma Arryn?,Aemma Arryn was a PERSON who When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.
When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .,Who is King Viserys?,King Viserys was a PERSON who Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .
When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .,Who is Laena?,Laena was a PERSON who Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .
When Viserys 's wife Aemma Arryn dies childbirth complications Baelon long survive Rhaenys among family members courtiers present joint funeral.Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .,What is located at Old Valyria?,Old Valyria is a LOC where Rhaenys husband meet King Viserys propose marriage alliance widower monarch daughter Laena uniting greatest surviving houses Old Valyria .
While Viserys hesitant idea marrying child understands importance producing heirs secure line .,Where is Viserys?,Viserys is a GPE that While Viserys hesitant idea marrying child understands importance producing heirs secure line .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,Who is Viserys?,Viserys was a PERSON who Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is Iron Throne?,Iron Throne is a ORG that Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,Who is Westeros?,Westeros was a PERSON who Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is Rhaenyra?,Rhaenyra is a ORG that Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,Who is Viserys?,Viserys was a PERSON who Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is located at Velaryon island?,Velaryon island is a LOC where Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,Who is Corlys?,Corlys was a PERSON who Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is Master Ships king 's?,Master Ships king 's is a ORG that Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is Small Council Viserys 's?,Small Council Viserys 's is a ORG that Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,Who is Alicent Hightower?,Alicent Hightower was a PERSON who Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys later speaks Rhaenyra—Viserys 's surviving child designated heir Iron Throne—and gives blunt lesson politics : much lords Westeros sworn uphold Rhaenyra 's position father 's heir knows personal experience oaths easily reneged woman throne much controversial prospect young princess realizes.Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .,What is Laena?,Laena is a ORG that Viserys arrives Velaryon island stronghold High Tide negotiate Corlys previously resigned Master Ships king 's Small Council Viserys 's decision marry Alicent Hightower rather Laena .
Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .,Who is Viserys?,Viserys was a PERSON who Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .
Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .,What is Laena?,Laena is a ORG that Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .
Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .,Who is Laenor?,Laenor was a PERSON who Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .
Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .,What is Iron Throne?,Iron Throne is a ORG that Rhaenys seems concerned apparently ill health cousin Viserys dismisses matter proposes daughter Rhaenyra marry Laena 's brother Laenor firstborn child would someday inherit Iron Throne .
Both sides agree terms Rhaenys privately confesses husband Laenor 's secret preference men may cause complications .,Who is Laenor?,Laenor was a PERSON who Both sides agree terms Rhaenys privately confesses husband Laenor 's secret preference men may cause complications .
